Id,Label,house,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
Addam-Marbrand,Addam Marbrand,Other,12,56,7,0.345803,0.373911,148.238587,0.052661,0.052661,0.001658,0,10,12,0.545455,36,0.20555
Aegon-Frey-(son-of-Stevron),Aegon Frey (son of Stevron),Frey,4,18,6,0.313609,0.332642,0,0.014688,0.014688,0.000715,0,1,3,1,6,0.058563
Aegon-I-Targaryen,Aegon I Targaryen,Targaryen,9,41,6,0.361692,0.386457,2174.903452,0.025583,0.025583,0.001787,0,6,0,0.222222,8,0.104302
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar),Targaryen,15,136,7,0.34223,0.369907,1897.530074,0.024692,0.024692,0.002558,0,16,14,0.333333,35,0.100899
Aegon-V-Targaryen,Aegon V Targaryen,Targaryen,1,6,6,0.262636,0.274004,0,0.001226,0.001226,0.000325,0,11,6,0,0,0.005823
Aemon-Targaryen-(Dragonknight),Aemon Targaryen (Dragonknight),Targaryen,1,3,7,0.311398,0.328733,0,0.007921,0.007921,0.000319,0,9,11,0,0,0.030959
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),Targaryen,26,395,5,0.356023,0.38782,5996.713823,0.035024,0.035024,0.00417,0,11,6,0.273846,89,0.155
Aenys-Frey,Aenys Frey,Frey,4,19,7,0.318127,0.340368,256.237334,0.011056,0.011056,0.000831,0,2,8,0.5,3,0.045426
Aeron-Greyjoy,Aeron Greyjoy,Greyjoy,15,151,7,0.312992,0.338104,4082.494978,0.007114,0.007114,0.003891,0,7,7,0.190476,20,0.032512
Aerys-I-Targaryen,Aerys I Targaryen,Targaryen,1,3,6,0.314851,0.326834,0,0.006802,0.006802,0.000303,0,10,16,0,0,0.02691
Aerys-II-Targaryen,Aerys II Targaryen,Targaryen,19,184,6,0.366359,0.398239,4440.320938,0.067482,0.067482,0.003342,0,10,14,0.327485,56,0.265976
Aggar,Aggar,Other,4,13,7,0.269036,0.283345,2523.900785,0.001664,0.001664,0.001521,0,1,7,0,0,0.007285
Aggo,Aggo,Other,10,112,7,0.2951,0.318524,31.698208,0.008956,0.008956,0.001554,0,6,14,0.666667,30,0.042149
Alayaya,Alayaya,Other,4,16,7,0.329465,0.350872,794,0.019677,0.019677,0.000872,0,10,2,0.5,3,0.077344
Albett,Albett,Other,3,11,6,0.308498,0.329224,0,0.005706,0.005706,0.000614,0,11,6,1,3,0.025898
