Source,Target,Weight
Other,Targaryen,104
Other,Tyrell,41
Other,Stark,244
Other,Selmy,27
Other,Tully,15
Other,Tarly,44
Frey,Other,19
Frey,Greyjoy,5
Frey,Stark,24
Frey,Tully,11
Frey,Lannister,17
Targaryen,Tyrell,1
Targaryen,Tarly,1
Greyjoy,Other,92
Greyjoy,Targaryen,1
Greyjoy,Stark,11
Greyjoy,Tully,1
Greyjoy,Lannister,4
Greyjoy,Jon-Snow,1
Arryn,Other,29
Arryn,Targaryen,2
Arryn,Stark,8
Arryn,Selmy,1
Arryn,Tully,3
Arryn,Lannister,8
Arryn,Baratheon,5
Martell,Other,54
Martell,Targaryen,6
Martell,Tyrell,1
Martell,Stark,1
Martell,Selmy,1
Stark,Targaryen,10
Stark,Tyrell,11
Stark,Tully,8
Stark,Tarly,3
Selmy,Targaryen,3
Selmy,Stark,2
Cassel,Other,22
Cassel,Frey,1
Cassel,Greyjoy,3
Cassel,Tyrell,1
Cassel,Stark,12
Cassel,Lannister,4
Cassel,Jon-Snow,2
Lannister,Other,211
Lannister,Targaryen,17
Lannister,Tyrell,16
Lannister,Martell,11
Lannister,Stark,31
Lannister,Selmy,3
Lannister,Tully,7
Lannister,Tarly,1
Clegane,Other,40
Clegane,Tyrell,2
Clegane,Martell,3
Clegane,Stark,7
Clegane,Selmy,1
Clegane,Lannister,7
Baratheon,Other,174
Baratheon,Targaryen,11
Baratheon,Greyjoy,5
Baratheon,Tyrell,14
Baratheon,Martell,5
Baratheon,Stark,30
Baratheon,Selmy,3
Baratheon,Cassel,3
Baratheon,Tully,2
Baratheon,Lannister,27
Baratheon,Clegane,7
Baratheon,Jon-Snow,4
Baratheon,Bolton,2
Baratheon,Tarly,3
Jon-Snow,Other,94
Jon-Snow,Targaryen,1
Jon-Snow,Stark,8
Jon-Snow,Lannister,3
Jon-Snow,Tarly,1
Bolton,Other,26
Bolton,Frey,6
Bolton,Greyjoy,2
Bolton,Stark,8
Bolton,Cassel,2
Bolton,Lannister,3
Tarly,Tyrell,2
