Character,Simulation,Avg_Steps,Total_Dead,Total_Cured,Total_Infected,Dead_1,Cured_1,Infected_1,Dead_2,Cured_2,Infected_2,Dead_3,Cured_3,Infected_3,Dead_4,Cured_4,Infected_4,Dead_5,Cured_5,Infected_5,Dead_6,Cured_6,Infected_6,Dead_7,Cured_7,Infected_7,Dead_8,Cured_8,Infected_8,Dead_9,Cured_9,Infected_9,Dead_10,Cured_10,Infected_10,Dead_11,Cured_11,Infected_11,Dead_12,Cured_12,Infected_12,Dead_13,Cured_13,Infected_13,Dead_14,Cured_14,Infected_14,Dead_15,Cured_15,Infected_15,Dead_16,Cured_16,Infected_16,Dead_17,Cured_17,Infected_17,Dead_18,Cured_18,Infected_18,Dead_19,Cured_19,Infected_19,Dead_20,Cured_20,Infected_20,Dead_21,Cured_21,Infected_21,Dead_22,Cured_22,Infected_22,Dead_23,Cured_23,Infected_23,Dead_24,Cured_24,Infected_24,Dead_25,Cured_25,Infected_25,Dead_26,Cured_26,Infected_26,Dead_27,Cured_27,Infected_27,Dead_28,Cured_28,Infected_28,Dead_29,Cured_29,Infected_29,Dead_30,Cured_30,Infected_30,Dead_31,Cured_31,Infected_31,Dead_32,Cured_32,Infected_32,Dead_33,Cured_33,Infected_33,Dead_34,Cured_34,Infected_34,Dead_35,Cured_35,Infected_35,Dead_36,Cured_36,Infected_36,Dead_37,Cured_37,Infected_37,Dead_38,Cured_38,Infected_38,Dead_39,Cured_39,Infected_39,Dead_40,Cured_40,Infected_40,Dead_41,Cured_41,Infected_41,Dead_42,Cured_42,Infected_42,Dead_43,Cured_43,Infected_43,Dead_44,Cured_44,Infected_44,Dead_45,Cured_45,Infected_45,Dead_46,Cured_46,Infected_46,Dead_47,Cured_47,Infected_47,Dead_48,Cured_48,Infected_48,Dead_49,Cured_49,Infected_49,Dead_50,Cured_50,Infected_50,Dead_51,Cured_51,Infected_51,Etichetta,Dead_52,Cured_52,Infected_52,Dead_53,Cured_53,Infected_53,Dead_54,Cured_54,Infected_54,Dead_55,Cured_55,Infected_55,Dead_56,Cured_56,Infected_56,Dead_57,Cured_57,Infected_57
Addam-Marbrand,1,27,36,665,890,0,0,1,0,0,2,0,0,6,0,0,30,0.0,0.0,139.0,1.0,2.0,321.0,2.0,12.0,453.0,6.0,46.0,510.0,9.0,132.0,483.0,13.0,222.0,420.0,20.0,329.0,328.0,24.0,400.0,265.0,26.0,463.0,207.0,28.0,521.0,149.0,28.0,569.0,101.0,30.0,593.0,76.0,32.0,613.0,54.0,33.0,634.0,33.0,34.0,644.0,23.0,34.0,651.0,16.0,35.0,655.0,11.0,35.0,659.0,7.0,36.0,659.0,6.0,36.0,661.0,4.0,36.0,663.0,2.0,36.0,663.0,2.0,36.0,664.0,1.0,36.0,665.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Addam-Marbrand,2,30,49,660,909,0,0,1,0,0,4,0,0,19,0,0,114,0.0,2.0,314.0,0.0,6.0,473.0,2.0,38.0,542.0,9.0,127.0,506.0,16.0,226.0,422.0,20.0,322.0,335.0,25.0,412.0,250.0,32.0,477.0,190.0,33.0,523.0,148.0,40.0,559.0,106.0,42.0,585.0,80.0,45.0,605.0,58.0,46.0,623.0,40.0,46.0,630.0,33.0,46.0,639.0,24.0,48.0,648.0,13.0,48.0,652.0,9.0,48.0,655.0,6.0,48.0,657.0,4.0,49.0,658.0,2.0,49.0,659.0,1.0,49.0,659.0,1.0,49.0,659.0,1.0,49.0,659.0,1.0,49.0,659.0,1.0,49.0,659.0,1.0,49.0,660.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Brynden-Tully,1,25,39,668,905,0,0,1,0,0,6,0,0,43,0,0,146,0.0,2.0,323.0,0.0,12.0,466.0,1.0,51.0,516.0,6.0,145.0,473.0,16.0,248.0,399.0,22.0,342.0,312.0,25.0,413.0,251.0,27.0,473.0,197.0,31.0,516.0,155.0,33.0,558.0,113.0,35.0,589.0,81.0,36.0,613.0,57.0,36.0,631.0,39.0,37.0,648.0,21.0,38.0,652.0,17.0,38.0,655.0,14.0,38.0,658.0,11.0,38.0,659.0,10.0,38.0,662.0,7.0,38.0,663.0,6.0,38.0,666.0,3.0,39.0,668.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Brynden-Tully,2,27,51,663,906,0,0,1,0,0,2,0,0,18,0,1,106,0.0,1.0,286.0,0.0,4.0,416.0,2.0,32.0,503.0,7.0,108.0,491.0,14.0,197.0,444.0,21.0,283.0,381.0,28.0,374.0,292.0,37.0,440.0,225.0,40.0,499.0,166.0,41.0,550.0,117.0,46.0,581.0,82.0,47.0,601.0,66.0,49.0,621.0,44.0,50.0,638.0,26.0,50.0,648.0,16.0,50.0,654.0,10.0,51.0,654.0,9.0,51.0,656.0,7.0,51.0,662.0,1.0,51.0,662.0,1.0,51.0,662.0,1.0,51.0,662.0,1.0,51.0,662.0,1.0,51.0,663.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Cersei-Lannister,1,34,51,646,887,0,0,1,0,0,25,0,0,104,0,0,281,0.0,11.0,436.0,3.0,41.0,523.0,3.0,113.0,513.0,11.0,217.0,429.0,17.0,324.0,334.0,28.0,393.0,265.0,33.0,463.0,194.0,37.0,507.0,149.0,41.0,544.0,111.0,47.0,575.0,74.0,48.0,597.0,51.0,50.0,607.0,40.0,50.0,619.0,28.0,51.0,625.0,21.0,51.0,634.0,12.0,51.0,637.0,9.0,51.0,638.0,8.0,51.0,640.0,6.0,51.0,642.0,4.0,51.0,642.0,4.0,51.0,643.0,3.0,51.0,643.0,3.0,51.0,643.0,3.0,51.0,644.0,2.0,51.0,644.0,2.0,51.0,644.0,2.0,51.0,644.0,2.0,51.0,644.0,2.0,51.0,645.0,1.0,51.0,645.0,1.0,51.0,646.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Cersei-Lannister,2,24,42,673,918,0,0,1,0,0,31,0,0,105,0,1,287,1.0,8.0,409.0,2.0,29.0,494.0,5.0,89.0,496.0,12.0,184.0,446.0,16.0,277.0,375.0,24.0,363.0,305.0,27.0,442.0,233.0,33.0,491.0,184.0,37.0,547.0,128.0,37.0,579.0,98.0,38.0,611.0,66.0,40.0,633.0,42.0,40.0,648.0,27.0,40.0,657.0,18.0,41.0,663.0,11.0,41.0,668.0,6.0,42.0,669.0,4.0,42.0,669.0,4.0,42.0,670.0,3.0,42.0,672.0,1.0,42.0,673.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Gyles-Rosby,1,28,46,651,878,0,0,1,0,0,6,0,0,34,0,0,141,0.0,2.0,323.0,0.0,14.0,471.0,7.0,52.0,512.0,12.0,129.0,485.0,17.0,225.0,413.0,21.0,329.0,318.0,25.0,411.0,246.0,28.0,465.0,194.0,30.0,510.0,150.0,34.0,547.0,112.0,39.0,583.0,74.0,41.0,600.0,56.0,41.0,613.0,43.0,42.0,630.0,25.0,44.0,633.0,20.0,45.0,641.0,11.0,45.0,645.0,7.0,45.0,645.0,7.0,45.0,647.0,5.0,45.0,649.0,3.0,45.0,650.0,2.0,45.0,650.0,2.0,45.0,650.0,2.0,46.0,650.0,1.0,46.0,651.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Gyles-Rosby,2,29,41,673,886,0,0,1,0,0,6,0,0,35,0,0,130,0.0,2.0,299.0,0.0,15.0,444.0,2.0,52.0,511.0,6.0,123.0,494.0,12.0,226.0,432.0,15.0,318.0,353.0,24.0,393.0,281.0,30.0,470.0,204.0,32.0,515.0,157.0,36.0,565.0,105.0,39.0,595.0,76.0,40.0,616.0,55.0,41.0,629.0,41.0,41.0,640.0,31.0,41.0,650.0,22.0,41.0,656.0,16.0,41.0,661.0,11.0,41.0,666.0,6.0,41.0,667.0,5.0,41.0,667.0,5.0,41.0,669.0,4.0,41.0,669.0,4.0,41.0,671.0,2.0,41.0,671.0,2.0,41.0,672.0,1.0,41.0,673.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Jaime-Lannister,1,28,54,656,924,0,0,1,0,0,25,0,0,119,0,0,294,3.0,5.0,474.0,6.0,35.0,538.0,14.0,111.0,524.0,24.0,205.0,449.0,34.0,302.0,356.0,42.0,403.0,254.0,43.0,472.0,188.0,46.0,522.0,138.0,48.0,548.0,111.0,51.0,583.0,74.0,51.0,598.0,60.0,52.0,612.0,45.0,52.0,623.0,34.0,53.0,637.0,19.0,53.0,643.0,13.0,53.0,648.0,9.0,54.0,652.0,4.0,54.0,653.0,3.0,54.0,653.0,3.0,54.0,654.0,2.0,54.0,655.0,1.0,54.0,655.0,1.0,54.0,655.0,1.0,54.0,655.0,1.0,54.0,656.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Jaime-Lannister,2,22,45,650,867,0,0,1,0,0,21,0,0,88,1,0,273,1.0,5.0,434.0,2.0,38.0,504.0,5.0,117.0,482.0,12.0,197.0,428.0,21.0,299.0,342.0,24.0,381.0,273.0,31.0,453.0,200.0,33.0,512.0,143.0,37.0,554.0,100.0,40.0,585.0,69.0,40.0,600.0,54.0,42.0,616.0,37.0,42.0,630.0,23.0,44.0,639.0,12.0,44.0,642.0,9.0,45.0,644.0,6.0,45.0,648.0,2.0,45.0,649.0,1.0,45.0,650.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
