Id,Label,House
Addam-Marbrand,Addam Marbrand,Other
Aegon-Frey-(son-of-Stevron),Aegon Frey (son of Stevron),Frey
Aegon-I-Targaryen,Aegon I Targaryen,Targaryen
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar),Targaryen
Aegon-V-Targaryen,Aegon V Targaryen,Targaryen
Aemon-Targaryen-(Dragonknight),Aemon Targaryen (Dragonknight),Targaryen
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),Targaryen
Aenys-Frey,Aenys Frey,Frey
Aeron-Greyjoy,Aeron Greyjoy,Greyjoy
Aerys-I-Targaryen,Aerys I Targaryen,Targaryen
Aerys-II-Targaryen,Aerys II Targaryen,Targaryen
Aggar,Aggar,Other
Aggo,Aggo,Other
Alayaya,Alayaya,Other
Albett,Albett,Other
Alebelly,Alebelly,Other
Alerie-Hightower,Alerie Hightower,Other
Alester-Florent,Alester Florent,Other
Alla-Tyrell,Alla Tyrell,Tyrell
Allar-Deem,Allar Deem,Other
Allard-Seaworth,Allard Seaworth,Other
Alleras,Alleras,Other
Alliser-Thorne,Alliser Thorne,Other
Alyn,Alyn,Other
Alys-Arryn,Alys Arryn,Arryn
Alys-Karstark,Alys Karstark,Other
Alysane-Mormont,Alysane Mormont,Other
Amabel,Amabel,Other
Amerei-Frey,Amerei Frey,Frey
Amory-Lorch,Amory Lorch,Other
Anders-Yronwood,Anders Yronwood,Other
Andrew-Estermont,Andrew Estermont,Other
Andrey-Dalt,Andrey Dalt,Other
Anguy,Anguy,Other
Anya-Waynwood,Anya Waynwood,Other
Archibald-Yronwood,Archibald Yronwood,Other
Ardrian-Celtigar,Ardrian Celtigar,Other
Areo-Hotah,Areo Hotah,Other
Arianne-Martell,Arianne Martell,Martell
Armen,Armen,Other
Arnolf-Karstark,Arnolf Karstark,Other
Aron-Santagar,Aron Santagar,Other
Arron,Arron,Other
Arson,Arson,Other
Arstan,Arstan,Other
Arthor-Karstark,Arthor Karstark,Other
Arthur-Dayne,Arthur Dayne,Other
Arwyn-Oakheart,Arwyn Oakheart,Other
Arya-Stark,Arya Stark,Stark
Arys-Oakheart,Arys Oakheart,Other
Asha-Greyjoy,Asha Greyjoy,Greyjoy
Ashara-Dayne,Ashara Dayne,Other
Aurane-Waters,Aurane Waters,Other
Axell-Florent,Axell Florent,Other
Azor-Ahai,Azor Ahai,Other
Bael-the-Bard,Bael the Bard,Other
Baelor-Blacktyde,Baelor Blacktyde,Other
Baelor-I-Targaryen,Baelor I Targaryen,Targaryen
Ballabar,Ballabar,Other
Balman-Byrch,Balman Byrch,Other
Balon-Greyjoy,Balon Greyjoy,Greyjoy
Balon-Swann,Balon Swann,Other
Bannen,Bannen,Other
Barbrey-Dustin,Barbrey Dustin,Other
Barristan-Selmy,Barristan Selmy,Selmy
Barsena,Barsena,Other
Bartimus,Bartimus,Other
Bedwyck,Bedwyck,Other
Belaquo,Belaquo,Other
Bellegere-Otherys,Bellegere Otherys,Other
Belwas,Belwas,Other
Ben-Bones,Ben Bones,Other
Ben-Plumm,Ben Plumm,Other
Benedar-Belmore,Benedar Belmore,Other
Benerro,Benerro,Other
Benethon-Scales,Benethon Scales,Other
Benfred-Tallhart,Benfred Tallhart,Other
Benjen-Stark,Benjen Stark,Stark
Beric-Dondarrion,Beric Dondarrion,Other
Beth-Cassel,Beth Cassel,Cassel
Big-Boil,Big Boil,Other
Biter,Biter,Other
Black-Balaq,Black Balaq,Other
Blane,Blane,Other
Bloodbeard,Bloodbeard,Other
Blue-Bard,Blue Bard,Other
Bonifer-Hasty,Bonifer Hasty,Other
Boros-Blount,Boros Blount,Other
Bowen-Marsh,Bowen Marsh,Other
Bran-Stark,Bran Stark,Stark
Brandon-Norrey,Brandon Norrey,Other
Brandon-Stark,Brandon Stark,Stark
Brea,Brea,Other
Brella,Brella,Other
Brenett,Brenett,Other
Brienne-of-Tarth,Brienne of Tarth,Other
Bronn,Bronn,Other
Brus-Buckler,Brus Buckler,Other
Brusco,Brusco,Other
Bryce-Caron,Bryce Caron,Other
Brynden-Rivers,Brynden Rivers,Other
Brynden-Tully,Brynden Tully,Tully
Bump,Bump,Other
Butterbumps,Butterbumps,Other
Byam-Flint,Byam Flint,Other
Caggo,Caggo,Other
Caleotte,Caleotte,Other
Camarron,Camarron,Other
Captain-Myraham,Captain Myraham,Other
Captain-Myraham-Daughter,Captain Myraham Daughter,Other
Catelyn-Stark,Catelyn Stark,Stark
Cayn,Cayn,Other
Cedra,Cedra,Other
Cedric-Payne,Cedric Payne,Other
Cellador,Cellador,Other
Cersei-Lannister,Cersei Lannister,Lannister
Chataya,Chataya,Other
Chayle,Chayle,Other
Chella,Chella,Other
Chett,Chett,Other
Chiggen,Chiggen,Other
Chiswyck,Chiswyck,Other
Clarence-Crabb,Clarence Crabb,Other
Clayton-Suggs,Clayton Suggs,Other
Clement-Piper,Clement Piper,Other
Cleon,Cleon,Other
Cleos-Frey,Cleos Frey,Frey
Cletus-Yronwood,Cletus Yronwood,Other
Cley-Cerwyn,Cley Cerwyn,Other
Clubfoot-Karl,Clubfoot Karl,Other
Clydas,Clydas,Other
Cohollo,Cohollo,Other
Coldhands,Coldhands,Other
Colemon,Colemon,Other
Colen-of-Greenpools,Colen of Greenpools,Other
Conn,Conn,Other
Coratt,Coratt,Other
Corliss-Penny,Corliss Penny,Other
Cortnay-Penrose,Cortnay Penrose,Other
Cotter-Pyke,Cotter Pyke,Other
Craster,Craster,Other
Creighton-Longbough,Creighton Longbough,Other
Cressen,Cressen,Other
Cromm,Cromm,Other
Cutjack,Cutjack,Other
Daario-Naharis,Daario Naharis,Other
Dacey-Mormont,Dacey Mormont,Other
Daemon-Sand,Daemon Sand,Other
Daenerys-Targaryen,Daenerys Targaryen,Targaryen
Daeron-I-Targaryen,Daeron I Targaryen,Targaryen
Daeron-II-Targaryen,Daeron II Targaryen,Targaryen
Dagmer,Dagmer,Other
Dalbridge,Dalbridge,Other
Dalla,Dalla,Other
Damon-Dance-for-Me,Damon Dance for Me,Other
Dancy,Dancy,Other
Danwell-Frey,Danwell Frey,Frey
Dareon,Dareon,Other
Daryn-Hornwood,Daryn Hornwood,Other
Daven-Lannister,Daven Lannister,Lannister
Davos-Seaworth,Davos Seaworth,Other
Denyo-Terys,Denyo Terys,Other
Denys-Darklyn,Denys Darklyn,Other
Denys-Mallister,Denys Mallister,Other
Denzo-Dhan,Denzo Dhan,Other
Desmond,Desmond,Other
Desmond-Grell,Desmond Grell,Other
Devan-Seaworth,Devan Seaworth,Other
Dick-Crabb,Dick Crabb,Other
Dick-Follard,Dick Follard,Other
Dick-Straw,Dick Straw,Other
Dirk,Dirk,Other
Dobber,Dobber,Other
Dolf,Dolf,Other
Donal-Noye,Donal Noye,Other
Donella-Hornwood,Donella Hornwood,Other
Donnel-Waynwood,Donnel Waynwood,Other
Dontos-Hollard,Dontos Hollard,Other
Doran-Martell,Doran Martell,Martell
Dorcas,Dorcas,Other
Doreah,Doreah,Other
Draqaz,Draqaz,Other
Drennan,Drennan,Other
Drogo,Drogo,Other
Dryn,Dryn,Other
Dunsen,Dunsen,Other
Dunstan-Drumm,Dunstan Drumm,Other
Dywen,Dywen,Other
Ebben,Ebben,Other
Eddard-Stark,Eddard Stark,Stark
Eddison-Tollett,Eddison Tollett,Other
Edmure-Tully,Edmure Tully,Tully
Edric-Storm,Edric Storm,Other
Edwyn-Frey,Edwyn Frey,Frey
Elbert-Arryn,Elbert Arryn,Arryn
Elder-Brother,Elder Brother,Other
Eldon-Estermont,Eldon Estermont,Other
Elia-Martell,Elia Martell,Martell
Elinor-Tyrell,Elinor Tyrell,Tyrell
Ellaria-Sand,Ellaria Sand,Other
Elmar-Frey,Elmar Frey,Frey
Elys-Waynwood,Elys Waynwood,Other
Emmett,Emmett,Other
Emmon-Cuy,Emmon Cuy,Other
Emmon-Frey,Emmon Frey,Frey
Emmond,Emmond,Other
Emrick,Emrick,Other
Eon-Hunter,Eon Hunter,Other
Eroeh,Eroeh,Other
Errok,Errok,Other
Euron-Greyjoy,Euron Greyjoy,Greyjoy
Eustace-Brune,Eustace Brune,Other
Ezzara,Ezzara,Other
Falyse-Stokeworth,Falyse Stokeworth,Other
Farlen,Farlen,Other
Florian-the-Fool,Florian the Fool,Other
Fogo,Fogo,Other
Forley-Prester,Forley Prester,Other
Franklyn-Flowers,Franklyn Flowers,Other
Franklyn-Fowler,Franklyn Fowler,Other
Frenken,Frenken,Other
Frenya,Frenya,Other
Fulk,Fulk,Other
Galazza-Galare,Galazza Galare,Other
Galbart-Glover,Galbart Glover,Other
Galyeon-of-Cuy,Galyeon of Cuy,Other
Gared,Gared,Other
Garin-(orphan),Garin (orphan),Other
Gariss,Gariss,Other
Garlan-Tyrell,Garlan Tyrell,Tyrell
Garrett-Paege,Garrett Paege,Other
Garth-(Wolfs-Den),Garth (Wolfs Den),Other
Garth-Greyfeather,Garth Greyfeather,Other
Garth-Tyrell,Garth Tyrell,Tyrell
Gawen-Westerling,Gawen Westerling,Other
Gelmarr,Gelmarr,Other
Gendel,Gendel,Other
Gendry,Gendry,Other
Genna-Lannister,Genna Lannister,Lannister
Gerald-Gower,Gerald Gower,Other
Gerold-Dayne,Gerold Dayne,Other
Gerold-Grafton,Gerold Grafton,Other
Gerold-Hightower,Gerold Hightower,Other
Gerrick-Kingsblood,Gerrick Kingsblood,Other
Gerris-Drinkwater,Gerris Drinkwater,Other
Ghael,Ghael,Other
Gilly,Gilly,Other
Gilwood-Hunter,Gilwood Hunter,Other
Godric-Borrell,Godric Borrell,Other
Godry-Farring,Godry Farring,Other
Goghor-the-Giant,Goghor the Giant,Other
Gormon-Tyrell,Gormon Tyrell,Tyrell
Gormond-Goodbrother,Gormond Goodbrother,Other
Gorne,Gorne,Other
Gorold-Goodbrother,Gorold Goodbrother,Other
Grazdan-mo-Eraz,Grazdan mo Eraz,Other
Grazhar,Grazhar,Other
Greenbeard,Greenbeard,Other
Gregor-Clegane,Gregor Clegane,Clegane
Grenn,Grenn,Other
Gretchel,Gretchel,Other
Grey-Worm,Grey Worm,Other
Greydon-Goodbrother,Greydon Goodbrother,Other
Grigg,Grigg,Other
Grimtongue,Grimtongue,Other
Grisel,Grisel,Other
Groleo,Groleo,Other
Grunt,Grunt,Other
Guncer-Sunglass,Guncer Sunglass,Other
Gunthor-son-of-Gurn,Gunthor son of Gurn,Other
Guyard-Morrigen,Guyard Morrigen,Other
Gyles-Grafton,Gyles Grafton,Other
Gyles-Rosby,Gyles Rosby,Other
Gynir,Gynir,Other
Hagen,Hagen,Other
Haggo,Haggo,Other
Haggon,Haggon,Other
Hairy-Hal,Hairy Hal,Other
Hake,Hake,Other
Halder,Halder,Other
Haldon,Haldon,Other
Hali,Hali,Other
Hallis-Mollen,Hallis Mollen,Other
Hallyne,Hallyne,Other
Halys-Hornwood,Halys Hornwood,Other
Hareth-(Moles-Town),Hareth (Moles Town),Other
Harl,Harl,Other
