Id,Label,clustering,triangles,pageranks,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,eigencentrality,weighted degree,Authority,Hub,modularity_class,stat_inf_class
Addam-Marbrand,,0.545455,36,0.001658,12,7,0.345803,0.373911,0.00047,0,0.205085,56,0.052661,0.052661,1,4
Brynden-Tully,,0.368421,63,0.002709,19,6,0.371495,0.403396,0.002227,0,0.238086,185,0.06002,0.06002,1,14
Cersei-Lannister,,0.131658,613,0.013362,97,6,0.454545,0.512159,0.088704,0,0.925314,2232,0.235779,0.235779,0,4
Gyles-Rosby,,0.411765,63,0.002327,18,7,0.339453,0.369173,0.000415,0,0.23067,101,0.059532,0.059532,0,4
Jaime-Lannister,,0.108515,548,0.015461,101,6,0.451961,0.511572,0.100838,0,0.89004,1569,0.226345,0.226345,1,14
Jalabhar-Xho,,0.5,5,0.000857,5,7,0.313733,0.332989,0.000807,0,0.049154,16,0.012675,0.012675,0,4
Joffrey-Baratheon,,0.219523,515,0.008865,69,6,0.433952,0.485367,0.031759,0,0.843277,1762,0.214379,0.214379,0,15
Kevan-Lannister,,0.507353,69,0.002385,17,6,0.362682,0.393375,0.001893,0,0.287378,196,0.073664,0.073664,0,4
Lyle-Crakehall,,0.5,5,0.000827,5,7,0.312992,0.333031,0.000009,0,0.060385,27,0.015553,0.015553,1,4
Oberyn-Martell,,0.336842,64,0.002833,20,7,0.356023,0.389048,0.009803,0,0.257305,192,0.065787,0.065787,0,1
Tyrion-Lannister,,0.089283,659,0.018362,122,6,0.476333,0.538365,0.162191,0,1,2873,0.251562,0.251562,0,3
Tywin-Lannister,,0.271277,306,0.006579,48,6,0.411278,0.455073,0.02067,0,0.628177,690,0.159782,0.159782,0,0
Varys,,0.363636,204,0.004487,34,6,0.401515,0.43935,0.009201,0,0.510594,609,0.129808,0.129808,0,0
Aegon-Frey-(son-of-Stevron),,1,6,0.000715,4,6,0.313609,0.332642,0,0,0.058565,18,0.014688,0.014688,1,14
Catelyn-Stark,,0.138378,384,0.011187,75,6,0.433479,0.487275,0.054974,0,0.698765,1230,0.175885,0.175885,1,14
Robb-Stark,,0.141429,382,0.011081,74,5,0.444134,0.49392,0.066468,0,0.693603,1424,0.173192,0.173192,1,14
Stevron-Frey,,0.8,8,0.000856,5,6,0.313981,0.33369,0.000003,0,0.062681,19,0.015711,0.015711,1,14
Walder-Frey,,0.345029,59,0.002829,19,6,0.360054,0.390377,0.006634,0,0.217492,176,0.054951,0.054951,1,14
Aegon-I-Targaryen,,0.222222,8,0.001787,9,6,0.361692,0.386457,0.006891,0,0.104604,41,0.025583,0.025583,9,6
Daenerys-Targaryen,,0.076484,201,0.013048,73,6,0.383317,0.438302,0.118418,0,0.27378,1608,0.063045,0.063045,9,10
Eddard-Stark,,0.151796,410,0.011485,74,6,0.455849,0.502935,0.078732,0,0.762143,1649,0.191659,0.191659,2,12
Harren-Hoare,,0.666667,2,0.000634,3,7,0.313981,0.330767,0.000077,0,0.031752,16,0.007827,0.007827,8,6
Nan,,0.5,14,0.001325,8,6,0.346254,0.373857,0.000714,0,0.105542,91,0.025463,0.025463,1,6
Rhaenys-Targaryen,,1,1,0.000621,2,7,0.265797,0.275903,0,0,0.004038,7,0.000928,0.000928,9,6
Stannis-Baratheon,,0.106997,419,0.01365,89,5,0.444631,0.500063,0.11014,0,0.734925,1375,0.182076,0.182076,4,7
Torrhen-Stark,,1,1,0.000489,2,7,0.313857,0.328754,0,0,0.030289,6,0.007602,0.007602,2,6
Visenya-Targaryen,,1,1,0.000621,2,7,0.265797,0.275903,0,0,0.004038,6,0.000928,0.000928,9,6
Aegon-Targaryen-(son-of-Rhaegar),,0.333333,35,0.002558,15,7,0.34223,0.369907,0.006012,0,0.101305,136,0.024692,0.024692,0,3
Elia-Martell,,0.583333,21,0.001457,9,7,0.343116,0.370347,0.0027,0,0.156877,56,0.040091,0.040091,0,1
Franklyn-Flowers,,0.333333,1,0.000844,3,7,0.260229,0.272225,0.002516,0,0.008794,10,0.002047,0.002047,0,3
Haldon,,0.454545,25,0.001807,11,7,0.326489,0.349299,0.000285,0,0.059736,135,0.014405,0.014405,0,3
Harry-Strickland,,0.666667,2,0.000709,3,7,0.260144,0.272016,0.000005,0,0.008976,31,0.002088,0.002088,0,3
Jon-Connington,,0.316667,38,0.002775,16,6,0.350375,0.377589,0.01269,0,0.136807,169,0.033735,0.033735,0,3
